Dataset ID,Dataset,Year,Tasks,Task IDs,Modalities,Hardware / Chipset,WiFi / Band,Environments,Subjects,Scenario,Original formats,Access,Redistribution,Standardization status,Profile
aril,ARIL,2019,Gesture and Sign Language; Indoor Spatial Localization; Multi-task and Multimodal,gesture; spatial_localization; multitask,Wireless CSI,USRP N210,Custom OFDM,1,1,Six hand gestures at sixteen labeled indoor locations,NumPy processed data; raw unsegmented data; labels,account,unclear,adapter-ready,clip-native
csi-bench,CSI-Bench,2025,Fall Detection and Risk; Vital-sign Monitoring; Indoor Spatial Localization; Motion-source Recognition; Human Activity Recognition; Human Identification; Multi-task and Multimodal,fall; vital_sign; spatial_localization; motion_source; har; identity; multitask,WiFi CSI,"Broadcom, Qualcomm, MediaTek, Espressif, NXP",802.11ac and device-dependent; 2.4/5 GHz,26,35,"Homes, offices, and public indoor areas; in the wild",HDF5; MAT; CSV; JSON,account,restricted,adapter-ready,continuous-100hz
csida,CSIDA,2021,Gesture and Sign Language; Human Identification; Indoor Spatial Localization; Multi-task and Multimodal,gesture; identity; spatial_localization; multitask,WiFi CSI,Atheros AR9580,"802.11n; 5 GHz, 40 MHz",2,5,Six gestures at five locations across two rooms,Zarr original CSI; Zarr processed CSI; labels,direct,allowed,adapter-ready,clip-1.8s-100hz
ehunam,EHUNAM,2025,Human Activity Recognition; People Counting and Occupancy; Human Identification; Machine and Industrial Sensing; Multi-task and Multimodal,har; occupancy; identity; machine_sensing; multitask,WiFi CSI,Nexmon-compatible Broadcom,802.11ac; 5 GHz,8,21,"Three campaigns over 23 days, including five human scenarios, appliances, and an industrial laboratory",MAT; summary spreadsheet; MATLAB preprocessing,direct,allowed,adapter-ready,continuous-native
exposing-csi,Exposing the CSI,2023,Human Activity Recognition; People Counting and Occupancy,har; occupancy,WiFi CSI; video-derived ground truth,Modern commercial WiFi collectors,802.11ac/ax experimental configurations; Multiple bandwidths up to 160 MHz,1,not reported,"Multiple controlled experiments varying WiFi configuration, collectors, target positions, and sensing conditions",Experiment archives; CSI; anonymized ground truth,direct,unclear,adapter-ready,continuous-native
figshare-csi-har,WiFi CSI HAR (Three Rooms),2021,Human Activity Recognition; Indoor Spatial Localization,har; spatial_localization,WiFi CSI; activity intervals; person bounding boxes,Atheros CSI Tool,"802.11n; 5 GHz, 40 MHz",3,1,"Walking, sitting, standing, lying, getting up/down, and no activity across rooms",CSV CSI; CSV labels; CSV bounding boxes,direct,allowed,adapter-ready,continuous-native
glasgow-activity-localization,Contactless Activity and Localization,2022,Human Activity Recognition; Indoor Spatial Localization; Multi-task and Multimodal,har; spatial_localization; multitask,Wireless CSI amplitude,USRP,Custom OFDM; 3.75 GHz,1,not reported,"Empty, leaning, sitting, standing, and walking with zone labels in a 3×3 grid",CSV amplitude,direct,unclear,adapter-ready,clip-3s-native
glasgow-multiuser,5G-enabled Multi-user Presence and Activity,2021,People Counting and Occupancy; Human Activity Recognition; Multi-task and Multimodal,occupancy; har; multitask,Wireless CSI amplitude,USRP,Custom OFDM rather than commodity WiFi; 3.75 GHz,1,4,Empty room and activity combinations with up to four people,CSV; 7z; PDF,direct,allowed,adapter-ready,clip-3s-100hz
mm-fi,MM-Fi,2023,Human Activity Recognition; Pose Estimation; Multi-task and Multimodal,har; pose; multitask,WiFi CSI; RGB-D; LiDAR; mmWave radar,Atheros CSI Tool,"802.11n; 5 GHz, 40 MHz",4,40,Daily and rehabilitation actions in two rooms and four platform settings,MAT; NumPy; PNG; BIN,application,restricted,adapter-ready,native-10hz
nist-breathesmart,NIST BreatheSmart CSI,2023,Vital-sign Monitoring,vital_sign,WiFi CSI,MIMO-OFDM WiFi test system,,1,0,Anatomically correct breathing manikin under controlled respiratory motion,CSV; ZIP; DOCX documentation,direct,allowed,verified,vital-native-plus-20hz
ntu-fi,NTU-Fi HAR and Human-ID,2022,Human Activity Recognition; Fall Detection and Risk; Human Identification,har; fall; identity,WiFi CSI amplitude,Atheros CSI Tool,802.11n,not reported,14,Segmented activities and gait identity recordings,Processed amplitude arrays,account,restricted,adapter-ready,clip-500-packets
operanet,OPERAnet,2022,Human Activity Recognition; Indoor Spatial Localization; Multi-task and Multimodal,har; spatial_localization; multitask,WiFi CSI; UWB; passive WiFi radar; Kinect,Intel 5300,802.11n; 5 GHz,2,6,Daily activities and natural movement in two rooms,MAT; CSV; video,direct,allowed,adapter-ready,continuous-100hz
signfi,SignFi,2018,Gesture and Sign Language,gesture,WiFi CSI,Intel 5300,802.11n; 5 GHz,2,5,276 sign-language gestures in lab and home settings,MAT complex CSI,application,restricted,adapter-ready,clip-native
ut-har,UT-HAR,2017,Human Activity Recognition; Fall Detection and Risk,har; fall,WiFi CSI amplitude,Intel 5300,802.11n; 5 GHz,1,not reported,Controlled single-person indoor activities,CSV processed amplitude,account,unclear,verified,clip-250-packets
wallhack18k,Wallhack1.8k,2024,Human Activity Recognition; People Counting and Occupancy,har; occupancy,WiFi CSI; CSI amplitude spectrogram,Espressif-compatible CSI format,802.11n; 2.4 GHz,6,not reported,"LoS and NLoS/through-wall; no presence, walking, walking plus arm waving",CSV raw I/Q; PNG spectrogram; CSV labels,direct,unclear,adapter-ready,clip-4s-100hz
wiar,WiAR,2019,Human Activity Recognition; Gesture and Sign Language,har; gesture,WiFi CSI; RSSI,Intel 5300,802.11n,3,10,"Empty room, meeting room, and office with activity and gesture classes",CSI files; RSSI,unclear,unclear,adapter-ready,clip-4s-100hz
widar3,Widar3.0,2021,Gesture and Sign Language; Human Activity Recognition,gesture; har,WiFi CSI; body-coordinate velocity profile,Intel 5300,802.11n; 5 GHz,3,16,Gestures at multiple positions and orientations,DAT; MAT; BVP,direct,restricted,adapter-ready,clip-4s-100hz
wifi-80mhz,CSI Dataset for Wireless Human Sensing on 80 MHz Wi-Fi Channels,2023,Human Activity Recognition; Human Identification; People Counting and Occupancy,har; identity; occupancy,WiFi CSI,Multiple commercial 802.11ac devices,"802.11ac; 5 GHz, 80 MHz",not reported,13,"Multiple environments, days, hardware configurations, blocked direct path, and semi-anechoic chamber",Dataset-specific CSI files,account,restricted,adapter-ready,continuous-100hz
wifi-presence-movement,WiFi CSI and RSS Presence/Movement,2020,People Counting and Occupancy; Human Activity Recognition,occupancy; har,WiFi CSI; RSS,Intel 5300,802.11n,not reported,not reported,Ambient presence and movement monitoring over multiple capture files,Gzipped JSON CSI; Gzipped CSV RSS; CSV annotations,direct,unclear,verified,continuous-native
wifi-tad,WiFiTAD,2025,Temporal Activity Detection / Localization; Fall Detection and Risk,tad_tal; fall,WiFi CSI,Intel 5300,802.11n,1,3,7 m × 12 m office; continuous random activity sequences,,unclear,unclear,adapter-ready,continuous-100hz
wimans,WiMANS,2024,Human Activity Recognition; People Counting and Occupancy; Human Identification; Indoor Spatial Localization; Multi-task and Multimodal,har; occupancy; identity; spatial_localization; multitask,WiFi CSI; video,Intel 5300,802.11n; 2.4/5 GHz,3,6,0–5 simultaneous users performing activities at labeled locations,MAT; video; CSV annotations,account,restricted,adapter-ready,clip-3s-100hz
wipe-fall,WiPE-FaLl,2024,Fall Detection and Risk,fall,Wireless CSI amplitude,USRP X300,Custom OFDM,1,not reported,Timed up-and-go trials under three simulated balance-risk conditions,CSV amplitude,direct,unclear,adapter-ready,clip-native
wireless-har-wifi-uwb,Wireless Sensing HAR (WiFi + UWB),2022,Human Activity Recognition; Multi-task and Multimodal,har; multitask,WiFi CSI; UWB CIR,Intel 5300 for WiFi subset,802.11n,3,not reported,Human activities across three WiFi rooms and one UWB room,MAT; dataset-specific RF files,direct,allowed,adapter-ready,continuous-native
xrf-v2,XRF V2,2025,Temporal Activity Detection / Localization; Multi-task and Multimodal,tad_tal; multitask,WiFi CSI; phone IMU; watch IMU; earbud IMU; glasses IMU; RGB-D video,WiFi array plus consumer-device IMU simulators and Azure Kinect,,3,16,"Dining room, study room, and bedroom; 7–10 actions per sequence",NumPy; annotations,account,unclear,adapter-ready,continuous-native
xrf55,XRF55,2024,Human Activity Recognition; Multi-task and Multimodal,har; multitask,WiFi CSI; mmWave radar; RFID; RGB-D video,Intel 5300,802.11n,4,39,Segmented indoor actions across people and scenes,DAT; MAT; NumPy,unclear,unclear,adapter-ready,clip-4s-100hz
